offer_id,hotel_id,partner_name,room_type,price_per_night,total_price,trivago_displayed_price,cost_per_click_bid,commission_rate,cancellation_policy,breakfast_included,instant_booking,special_offers,nights,price_fluctuation_mean,price_fluctuation_variance,price_history_24h,variance_factor,last_updated
O000001,H00001,Venere,Twin,150.47,150.47,147.02,2.34,0.121,Free,False,False,Free cancellation,1,151.11,0.67,"[150.19, 149.5, 150.36, 150.35, 151.17, 150.89, 151.85, 151.96, 152.05, 152.53, 152.38, 151.62, 150.47, 151.71, 151.53, 150.91, 150.75, 149.94, 150.31, 150.52, 150.9, 150.66, 151.8, 152.18]",0.0052,2025-07-19T00:10:01.768612
O000002,H00002,Lastminute.com,Single,81.64,81.64,83.97,0.5,0.132,Free,False,False,"Free WiFi, Late checkout",1,83.56,8.1,"[83.39, 84.14, 80.69, 83.73, 85.22, 87.75, 87.3, 86.62, 85.49, 85.33, 86.23, 85.89, 84.6, 85.83, 85.34, 85.78, 83.32, 81.47, 80.16, 80.06, 78.82, 78.89, 77.92, 81.57]",0.0221,2025-07-19T00:10:01.768612
O000003,H00003,Expedia,Twin,238.68,716.04,237.38,2.04,0.11,Partial,False,True,Free parking,3,236.59,4.8,"[239.11, 239.02, 237.4, 237.62, 237.42, 240.02, 237.34, 237.21, 236.01, 235.47, 234.23, 234.31, 232.19, 232.12, 233.95, 234.48, 235.12, 236.68, 238.0, 236.46, 237.69, 237.06, 238.98, 240.25]",0.0075,2025-07-19T00:10:01.768612
O000004,H00004,Getaroom,Double,235.82,235.82,233.36,1.94,0.137,Free,True,True,Late checkout,1,237.75,34.61,"[232.29, 229.88, 234.8, 234.36, 237.21, 233.72, 228.95, 230.53, 233.77, 243.05, 236.79, 233.64, 237.17, 233.36, 234.89, 235.63, 239.71, 243.96, 244.93, 248.96, 249.95, 247.19, 242.09, 239.18]",0.0155,2025-07-19T00:10:01.768612
O000005,H00005,Hotwire,Double,150.65,301.3,145.06,2.38,0.104,Non-refundable,False,True,Airport shuttle,2,147.13,6.47,"[150.51, 150.27, 147.02, 146.21, 144.88, 144.02, 141.96, 142.36, 145.32, 148.99, 145.5, 144.38, 146.62, 145.62, 147.35, 148.04, 148.71, 145.34, 147.8, 150.45, 149.78, 150.29, 149.76, 149.87]",0.0138,2025-07-19T00:10:01.768612
O000006,H00006,Orbitz,Suite,486.99,486.99,496.11,2.11,0.09,Partial,True,True,Spa discount,1,477.2,281.76,"[485.07, 486.42, 494.1, 497.78, 488.85, 478.0, 472.68, 469.24, 464.11, 444.98, 440.83, 443.75, 454.42, 465.13, 472.85, 474.89, 488.36, 486.98, 491.03, 489.29, 488.96, 494.17, 487.72, 493.07]",0.0151,2025-07-19T00:10:01.768612
O000007,H00007,Booking.com,Deluxe,128.7,772.2,127.1,0.59,0.188,Partial,False,True,Pay at hotel,6,133.22,9.13,"[129.65, 131.84, 131.97, 129.62, 134.3, 135.61, 137.66, 136.92, 139.41, 136.82, 136.84, 137.28, 135.19, 134.07, 133.67, 130.68, 131.24, 130.19, 129.98, 131.5, 132.56, 130.89, 130.16, 129.24]",0.0143,2025-07-19T00:10:01.768612
O000008,H00008,Hotels.com,Deluxe,176.4,176.4,174.31,1.67,0.082,Free,False,False,"Room upgrade, Free parking",1,171.01,3.34,"[175.29, 173.22, 173.66, 172.85, 171.66, 170.64, 171.02, 169.2, 172.2, 173.18, 172.62, 170.82, 172.34, 171.76, 169.97, 169.1, 168.16, 168.96, 168.62, 170.13, 169.98, 170.58, 169.09, 169.19]",0.0091,2025-07-19T00:10:01.768612
O000009,H00009,HotelDirect,Single,58.08,58.08,56.95,1.88,0.124,Free,True,False,,1,58.38,4.1,"[57.63, 55.35, 55.73, 54.65, 53.86, 57.95, 58.6, 57.92, 57.97, 57.62, 61.2, 61.4, 61.87, 59.85, 59.62, 58.36, 59.54, 61.06, 59.69, 58.28, 57.03, 59.38, 58.5, 58.11]",0.0214,2025-07-19T00:10:01.768612
O000010,H00010,Orbitz,Twin,146.94,146.94,148.6,2.08,0.101,Free,True,False,,1,146.12,4.24,"[147.66, 149.15, 148.88, 149.87, 148.69, 148.61, 147.92, 147.69, 146.23, 143.93, 144.45, 144.24, 143.79, 143.74, 145.18, 142.35, 146.15, 144.95, 144.33, 146.13, 147.99, 145.6, 144.48, 144.89]",0.0096,2025-07-19T00:10:01.768612
