offer_id,hotel_id,partner_name,room_type,price_per_night,total_price,trivago_displayed_price,cost_per_click_bid,commission_rate,partner_marketing_budget,cancellation_policy,breakfast_included,instant_booking,special_offers,nights,price_fluctuation_mean,price_fluctuation_variance,price_history_24h,variance_factor,last_updated
O000001,H00001,Venere,Twin,150.47,150.47,147.02,1.35,0.144,15488.01,Free,False,False,Free cancellation,1,151.11,0.67,"[150.19, 149.5, 150.36, 150.35, 151.17, 150.89, 151.85, 151.96, 152.05, 152.53, 152.38, 151.62, 150.47, 151.71, 151.53, 150.91, 150.75, 149.94, 150.31, 150.52, 150.9, 150.66, 151.8, 152.18]",0.0052,2025-07-31T21:39:29.139632
O000002,H00002,Lastminute.com,Single,83.92,419.6,86.32,2.0,0.179,9270.12,Free,False,False,"Free WiFi, Late checkout",5,82.17,18.08,"[84.26, 86.05, 87.81, 87.21, 87.21, 86.66, 85.91, 85.96, 86.19, 83.06, 83.05, 83.68, 83.88, 83.78, 82.32, 80.51, 79.92, 77.5, 77.76, 76.85, 77.49, 77.0, 74.54, 73.59]",0.0181,2025-07-31T21:39:29.139632
O000003,H00003,Expedia,Twin,238.68,238.68,234.81,2.18,0.195,43348.84,Free,False,True,Free parking,1,234.9,32.62,"[238.54, 245.34, 238.0, 237.49, 234.15, 232.57, 229.11, 229.22, 223.42, 223.13, 227.93, 229.26, 230.89, 234.98, 238.42, 234.22, 237.43, 235.69, 240.76, 244.1, 241.44, 234.88, 238.12, 238.6]",0.0202,2025-07-31T21:39:29.139632
O000004,H00004,Getaroom,Double,224.69,224.69,229.16,1.07,0.168,2646.46,Free,True,True,Late checkout,1,223.47,4.84,"[224.56, 222.94, 221.91, 223.42, 224.66, 228.07, 228.59, 225.57, 222.43, 222.8, 222.79, 222.39, 220.13, 218.43, 220.9, 223.14, 223.75, 225.05, 222.73, 223.46, 222.22, 224.84, 225.8, 222.64]",0.0094,2025-07-31T21:39:29.139632
O000005,H00005,Hotwire,Double,143.77,143.77,139.21,2.71,0.094,2383.56,Free,False,True,Airport shuttle,1,141.98,5.05,"[143.02, 142.05, 140.58, 139.57, 137.37, 137.65, 140.53, 144.13, 140.5, 139.28, 141.45, 140.34, 142.01, 142.63, 143.23, 139.76, 142.18, 144.79, 144.05, 144.5, 143.92, 143.97, 145.83, 144.22]",0.0146,2025-07-31T21:39:29.139632
O000006,H00006,Orbitz,Suite,492.91,492.91,499.26,2.6,0.179,33374.09,Free,True,True,Spa discount,1,507.64,387.14,"[488.11, 497.89, 485.25, 479.14, 477.8, 479.48, 479.39, 486.79, 512.26, 502.3, 504.15, 497.87, 505.52, 520.57, 518.71, 525.96, 516.08, 525.7, 538.74, 535.34, 538.93, 526.01, 519.08, 522.4]",0.0182,2025-07-31T21:39:29.139632
O000007,H00007,Booking.com,Deluxe,128.7,386.1,132.04,0.6,0.102,196568.55,Free,False,True,Pay at hotel,3,124.83,8.72,"[130.01, 127.86, 128.34, 129.22, 127.51, 126.76, 126.72, 124.06, 124.96, 124.21, 124.3, 126.12, 127.46, 126.02, 125.53, 124.84, 123.98, 123.56, 123.03, 122.02, 119.88, 120.65, 119.95, 118.81]",0.0145,2025-07-31T21:39:29.139632
O000008,H00008,Hotels.com,Deluxe,176.4,529.2,173.5,3.57,0.155,93745.6,Free,False,False,"Room upgrade, Free parking",3,171.63,6.67,"[174.02, 172.96, 172.46, 174.26, 175.45, 173.3, 174.7, 173.93, 174.99, 173.9, 173.86, 172.72, 172.74, 171.1, 170.05, 169.39, 168.25, 168.07, 168.62, 171.05, 169.59, 168.34, 168.79, 166.65]",0.0092,2025-07-31T21:39:29.139632
O000009,H00009,HotelDirect,Single,58.08,174.24,59.2,0.5,0.122,13995.23,Free,True,False,,3,56.04,1.12,"[58.07, 56.4, 56.36, 55.37, 56.59, 58.11, 57.0, 55.84, 54.83, 57.08, 56.39, 56.14, 56.84, 54.65, 55.67, 56.19, 55.02, 54.45, 53.87, 54.66, 56.06, 56.03, 57.01, 56.23]",0.0195,2025-07-31T21:39:29.139632
O000010,H00010,Orbitz,Twin,134.58,672.9,134.6,2.78,0.097,13388.12,Free,True,False,,5,136.54,3.95,"[134.37, 133.52, 131.7, 135.94, 137.36, 137.47, 135.2, 132.89, 135.48, 137.85, 138.1, 136.71, 135.78, 134.42, 137.54, 137.09, 138.18, 139.43, 137.26, 137.25, 136.69, 138.52, 139.23, 138.91]",0.0117,2025-07-31T21:39:29.139632
