position,offer_id,hotel_id,partner_name,price_per_night,commission_rate,cost_per_click_bid,user_satisfaction_score,conversion_probability,remaining_budget
1,O023395,H03395,Kayak,393.0,0.17,1.34,5.356,0.5107,14701.232735615507
2,O023395,H03395,Kayak,393.0,0.17,1.34,5.356,0.5107,14701.232735615507
3,O023395,H03395,Kayak,393.0,0.17,1.34,5.356,0.5107,14701.232735615507
4,O003395,H03395,Hotels.com,352.8,0.165,2.73,5.6776,0.5147200000000001,
5,O003395,H03395,Hotels.com,352.8,0.165,2.73,5.6776,0.5147200000000001,
6,O003395,H03395,Hotels.com,352.8,0.165,2.73,5.6776,0.5147200000000001,
7,O033395,H03395,Hotwire,343.28,0.197,1.44,5.75376,0.515672,11100.802124935206
8,O033395,H03395,Hotwire,343.28,0.197,1.44,5.75376,0.515672,11100.802124935206
9,O043395,H03395,Priceline,331.2,0.098,2.31,5.8504000000000005,0.51688,5754.681434882814
10,O048121,H08121,Getaroom,197.26,0.176,0.62,6.29192,0.45827400000000007,5220.647778489504
